,0,1
4920353,"""4920""","""49203"""
4910240,"""4910""","""49102"""
4912298,"""4912""","""49122"""
4909230,"""4909""","""49092"""
4909152,"""4909""","""49091"""
4961619,"""4961""","""49616"""
4915185,"""4915""","""49151"""
0402117,"""0402""","""04021"""
4935614,"""4935""","""49356"""
4904509,"""4904""","""49045"""
4905761,"""4905""","""49057"""
4905419,"""4905""","""49054"""
4930228,"""4930""","""49302"""
4907439,"""4907""","""49074"""
4960131,"""4960""","""49601"""
4908170,"""4908""","""49081"""
4905424,"""4905""","""49054"""
4909267,"""4909""","""49092"""
4905423,"""4905""","""49054"""
4913112,"""4913""","""49131"""
4905421,"""4905""","""49054"""
4914223,"""4914""","""49142"""
4909268,"""4909""","""49092"""
4907265,"""4907""","""49072"""
4963103,"""4963""","""49631"""
4909205,"""4909""","""49092"""
4921005,"""4921""","""49210"""
4909160,"""4909""","""49091"""
4908179,"""4908""","""49081"""
4909382,"""4909""","""49093"""
4935601,"""4935""","""49356"""
4930247,"""4930""","""49302"""
4912814,"""4912""","""49128"""
4915407,"""4915""","""49154"""
4960145,"""4960""","""49601"""
4906420,"""4906""","""49064"""
4921575,"""4921""","""49215"""
4904503,"""4904""","""49045"""
4907428,"""4907""","""49074"""
4905752,"""4905""","""49057"""
